usa_symbol	usa_address	ita_address	confidence	status	structural_score	length_score	raw_similarity	direct_score	sequence_score	neighbor_score	candidate_margin	propagation_support	direct_evidence	propagated_evidence	chain_dependency	suspicious	pass1_address	pass1_status	final_score
_TrainerNameText	0x4045	0x4045	1.000	EXACT	1.000	1.000	1.000	1.000	1.000	1.000	0.000	3	DIRECT	NONE	NO	NO		UNMATCHED	0.000
_NoNibbleText	0x404D	0x404D	0.842	MEDIUM_CONFIDENCE	0.800	0.645	0.150	0.794	0.984	0.977	0.321	1	DIRECT	BOUNDED	NO	EXPECTED_DRIFT	0x404D	AMBIGUOUS	0.794
_NothingHereText	0x4061	0x406C	0.930	HIGH_CONFIDENCE	0.857	0.943	0.156	0.885	0.817	0.908	0.885	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x406C	AMBIGUOUS	0.885
_ItsABiteText	0x4082	0x408F	0.880	MEDIUM_CONFIDENCE	0.889	0.810	0.294	0.880	0.838	0.000	0.032	0	DIRECT	NONE	NO	POSSIBLE_INSERTION	0x408F	MEDIUM_CONFIDENCE	0.880
_ExclamationText	0x4093	0x40A4	1.000	HIGH_CONFIDENCE	1.000	1.000	1.000	1.000	0.785	0.993	1.000	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x40A4	AMBIGUOUS	1.000
_GroundRoseText	0x4096	0x40A7	0.689	MEDIUM_CONFIDENCE	0.571	0.600	0.037	0.639	0.791	0.995	0.639	2	DIRECT	BOUNDED	NO	EXPECTED_DRIFT	0x40A7	AMBIGUOUS	0.639
_BoulderText	0x40B1	0x40D4	0.846	MEDIUM_CONFIDENCE	0.800	0.750	0.156	0.799	0.454	0.947	0.799	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x40D4	AMBIGUOUS	0.799
_MartSignText	0x40D2	0x4100	0.853	MEDIUM_CONFIDENCE	0.778	0.857	0.156	0.804	0.280	0.976	0.804	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x4100	AMBIGUOUS	0.804
_PokeCenterSignText	0x40FC	0x4131	0.855	MEDIUM_CONFIDENCE	0.778	0.806	0.207	0.806	0.211	0.985	0.806	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x4131	AMBIGUOUS	0.806
_FoundItemText	0x4119	0x4155	0.753	MEDIUM_CONFIDENCE	0.800	0.765	0.538	0.753	0.116	0.000	0.087	0	DIRECT	NONE	NO	POSSIBLE_INSERTION	0x4155	MEDIUM_CONFIDENCE	0.753
_NoMoreRoomForItemText	0x412A	0x4166	0.852	MEDIUM_CONFIDENCE	0.857	0.610	0.160	0.802	0.150	0.999	0.468	2	DIRECT	BOUNDED	NO	EXPECTED_DRIFT	0x4166	AMBIGUOUS	0.802
_OaksAideHiText	0x4143	0x418F	0.368	AMBIGUOUS	0.357	0.491	0.125	0.368	0.000	0.000	0.047	0	DIRECT	NONE	NO	POSSIBLE_INSERTION	0x418F	AMBIGUOUS	0.368
_OaksAideUhOhText	0x41E4	0x41DE	0.426	AMBIGUOUS	0.513	0.250	0.037	0.426	0.055	0.000	0.015	0	DIRECT	NONE	NO	SUSPICIOUS_MAPPING	0x41DE	AMBIGUOUS	0.426
_OaksAideComeBackText	0x4250	0x4277	0.484	AMBIGUOUS	0.560	0.333	0.100	0.484	0.817	0.000	0.028	0	DIRECT	NONE	NO	POSSIBLE_INSERTION	0x4277	AMBIGUOUS	0.484
_OaksAideHereYouGoText	0x428C	0x42F0	0.706	MEDIUM_CONFIDENCE	0.621	0.779	0.062	0.658	0.000	0.967	0.206	2	DIRECT	BOUNDED	NO	SUSPICIOUS_MAPPING	0x42F0	AMBIGUOUS	0.658
_OaksAideGotItemText	0x42D9	0x432C	0.752	MEDIUM_CONFIDENCE	0.750	0.737	0.214	0.704	0.498	0.957	0.263	2	DIRECT	BOUNDED	NO	POSSIBLE_DELETION	0x432C	AMBIGUOUS	0.704
_OaksAideNoRoomText	0x42EC	0x433E	0.810	MEDIUM_CONFIDENCE	0.846	0.776	0.062	0.761	0.557	0.995	0.483	2	DIRECT	BOUNDED	NO	POSSIBLE_DELETION	0x433E	AMBIGUOUS	0.761
_ViridianForestYoungster1Text	0x431D	0x4367	0.859	MEDIUM_CONFIDENCE	0.720	0.967	0.062	0.811	0.827	0.964	0.451	2	DIRECT	BOUNDED	NO	POSSIBLE_DELETION	0x4367	AMBIGUOUS	0.811
_ViridianForestYoungster2BattleText	0x4359	0x43A1	0.903	MEDIUM_CONFIDENCE	0.800	0.957	0.094	0.854	0.988	0.970	0.854	2	DIRECT	BOUNDED	NO	POSSIBLE_DELETION	0x43A1	AMBIGUOUS	0.854
_ViridianForestYoungster2EndBattleText	0x4387	0x43CD	0.899	MEDIUM_CONFIDENCE	0.833	0.844	0.148	0.852	0.878	0.955	0.852	2	DIRECT	BOUNDED	NO	POSSIBLE_DELETION	0x43CD	AMBIGUOUS	0.852
_ViridianForestYoungster2AfterBattleText	0x43A2	0x43ED	0.881	MEDIUM_CONFIDENCE	0.875	0.702	0.188	0.831	0.933	0.998	0.831	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x43ED	AMBIGUOUS	0.831
_ViridianForestYoungster3BattleText	0x43C3	0x441C	0.890	MEDIUM_CONFIDENCE	0.818	0.959	0.062	0.844	0.828	0.923	0.844	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x441C	AMBIGUOUS	0.844
_ViridianForestYoungster3EndBattleText	0x43F2	0x444D	0.783	MEDIUM_CONFIDENCE	0.750	0.833	0.120	0.783	0.877	0.000	0.039	0	DIRECT	NONE	NO	POSSIBLE_INSERTION	0x444D	MEDIUM_CONFIDENCE	0.783
_ViridianForestYoungster3AfterBattleText	0x440B	0x446B	0.886	MEDIUM_CONFIDENCE	0.750	0.978	0.281	0.836	0.818	0.996	0.836	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x446B	AMBIGUOUS	0.836
_ViridianForestYoungster4BattleText	0x4438	0x4497	0.963	HIGH_CONFIDENCE	0.923	0.914	0.094	0.913	0.928	0.989	0.913	2	DIRECT	BOUNDED	YES	POSSIBLE_DELETION	0x4497	AMBIGUOUS	0.913
_ViridianForestYoungster4EndBattleText	0x4458	0x44BA	0.997	HIGH_CONFIDENCE	1.000	0.879	0.034	0.947	0.926	0.998	0.947	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x44BA	AMBIGUOUS	0.947
