usa_symbol	ita_address	status	source
SilphCo2FSilphWorkerFPleaseTakeThisText	20:672C	HISTORICAL	PASS2
_AgathaEndBattleText	21:6B9D	CONFIRMED	PASS5
_BecameConfusedText	25:493C	CONFIRMED	PASS5
_BikeShopBagFullText	26:4FDD	CONFIRMED	PASS5
_BookcaseText	22:4762	CONFIRMED	PASS5
_BoulderText	20:40D4	HISTORICAL	PASS2
_BrunoEndBattleText	21:69EA	CONFIRMED	PASS5
_CableClubNPCPleaseComeAgainText	29:4000	CONFIRMED	PASS5
_CantCarryMoreText	22:62B1	CONFIRMED	PASS5
_CeladonCityGramps3TM41NoRoomText	29:5D24	CONFIRMED	PASS5
_CeladonDinerGymGuideCoinCaseNoRoomText	27:6213	CONFIRMED	PASS5
_CeladonMart3FClerkTM18NoRoomText	27:491F	CONFIRMED	PASS5
_CeladonMartRoofLittleGirlGiveHerADrinkText	27:4EC2	CONFIRMED	PASS5
_CeladonMartRoofLittleGirlImThirstyText	27:4E9F	CONFIRMED	PASS5
_CeruleanGymMistyTM11NoRoomText	26:4C36	CONFIRMED	PASS5
_CinnabarGymSuperNerd2EndBattleText	28:4B2E	CONFIRMED	PASS5
_CinnabarLabFossilRoomScientist1GoForAWalkText	28:5255	CONFIRMED	PASS5
_CinnabarLabFossilRoomScientist1GoForAWalkText2	28:5366	CONFIRMED	PASS5
_ColosseumOpponentText	25:4BC4	CONFIRMED	PASS5
_DidntAffectText	25:49AE	CONFIRMED	PASS5
_DoesntAffectMonText	22:5C79	CONFIRMED	PASS5
_ExclamationText	20:40A4	CONFIRMED	PASS2+PASS5
_FellText	25:4888	CONFIRMED	PASS5
_FightingDojoBlackbelt1EndBattleText	28:5A4E	CONFIRMED	PASS5
_FightingDojoText	22:5018	CONFIRMED	PASS5
_FoundItemText	20:4155	HISTORICAL	PASS2
_FrozenText	25:4834	CONFIRMED	PASS5
_FuchsiaCityPokemonText	29:6142	CONFIRMED	PASS5
_FuchsiaGoodRodHouseFishingGuruNoRoomText	28:47AD	CONFIRMED	PASS5
_FuchsiaGymKogaTM06NoRoomText	28:4160	CONFIRMED	PASS5
_GroundRoseText	20:40A7	HISTORICAL	PASS2
_IsConfusedText	22:5B4E	CONFIRMED	PASS5
_IsFrozenText	22:5AF7	CONFIRMED	PASS5
_IsUnaffectedText	25:49C3	CONFIRMED	PASS5
_ItemUseNoEffectText	29:6D14	CONFIRMED	PASS5
_ItsABiteText	20:408F	HISTORICAL	PASS2
