symbol	usa	ita	status	score	source	delta	reason
CeladonCity_h	06:4000	06:4000	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
PalletTown_h	06:42A1	06:42A1	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
ViridianCity_h	06:4357	06:4357	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
PewterCity_h	06:4554	06:4554	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
CeruleanCity_h	06:474E	06:474E	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
VermilionCity_h	06:4998	06:4998	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
FuchsiaCity_h	06:4BA7	06:4BA7	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
BluesHouse_h	06:5B2F	06:5B34	HIGH	5	SEARCH	5	sequence_alignment
VermilionTradeHouse_h	06:5C06	06:5C0B	HIGH	5	SEARCH	5	sequence_alignment
IndigoPlateauLobby_h	06:5C4F	06:5C54	CONFIRMED	5	SEARCH	5	anchor
SilphCo4F_h	06:5CFF	06:5D04	HIGH	5	SEARCH	5	sequence_alignment
SilphCo5F_h	06:5F2B	06:5F30	HIGH	5	SEARCH	5	sequence_alignment
SilphCo6F_h	06:619D	06:61A2	HIGH	5	SEARCH	5	sequence_alignment
CinnabarIsland_h	07:4000	07:4000	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
Route1_h	07:40C3	07:40C3	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
OaksLab_h	07:4B02	07:4B02	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
ViridianMart_h	07:5462	07:5462	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
ViridianSchoolHouse_h	07:5540	07:5540	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
ViridianNicknameHouse_h	07:557D	07:557D	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
PewterNidoranHouse_h	07:55E7	07:55E7	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
PewterSpeechHouse_h	07:563C	07:563C	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
CeruleanTrashedHouse_h	07:5679	07:5679	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
CeruleanTradeHouse_h	07:56EA	07:56EA	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
BikeShop_h	07:5730	07:5730	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
MrFujisHouse_h	07:589C	07:589D	HIGH	5	SEARCH	1	sequence_alignment
LavenderCuboneHouse_h	07:59A2	07:59A3	HIGH	5	SEARCH	1	sequence_alignment
NameRatersHouse_h	07:5A06	07:5A07	HIGH	5	SEARCH	1	sequence_alignment
VermilionPidgeyHouse_h	07:5AF0	07:5AF1	HIGH	5	SEARCH	1	sequence_alignment
VermilionDock_h	07:5B46	07:5B47	CONFIRMED	5	SEARCH	1	anchor
CeladonMansionRoofHouse_h	07:5D2E	07:5D2F	HIGH	5	SEARCH	1	sequence_alignment
FuchsiaMart_h	07:5D7C	07:5D7D	HIGH	5	SEARCH	1	sequence_alignment
SaffronPidgeyHouse_h	07:5DD1	07:5DD2	HIGH	5	SEARCH	1	sequence_alignment
MrPsychicsHouse_h	07:5E30	07:5E31	HIGH	5	SEARCH	1	sequence_alignment
DiglettsCaveRoute2_h	07:5EA4	07:5EA5	HIGH	5	SEARCH	1	sequence_alignment
Route2TradeHouse_h	07:5EE1	07:5EE2	HIGH	5	SEARCH	1	sequence_alignment
Route5Gate_h	07:5F27	07:5F28	HIGH	5	SEARCH	1	sequence_alignment
Route6Gate_h	07:6031	07:6032	HIGH	5	SEARCH	1	sequence_alignment
Route7Gate_h	07:60F4	07:60F5	HIGH	5	SEARCH	1	sequence_alignment
Route8Gate_h	07:61BB	07:61BC	HIGH	5	SEARCH	1	sequence_alignment
UndergroundPathRoute8_h	07:627D	07:627E	HIGH	5	SEARCH	1	sequence_alignment
PowerPlant_h	07:62BA	07:62BB	CONFIRMED	5	SEARCH	1	anchor
DiglettsCaveRoute11_h	07:65AE	07:65AF	HIGH	5	SEARCH	1	sequence_alignment
Route16FlyHouse_h	07:65EC	07:65ED	HIGH	5	SEARCH	1	sequence_alignment
Route22Gate_h	07:6677	07:6678	HIGH	5	SEARCH	1	sequence_alignment
BillsHouse_h	07:675E	07:675F	HIGH	5	SEARCH	1	sequence_alignment
LavenderTown_h	11:4000	11:4000	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
ViridianPokecenter_h	11:4251	11:4251	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
PokemonMansion1F_h	11:42A3	11:42A3	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
RockTunnel1F_h	11:44D0	11:44D0	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
SeafoamIslands1F_h	11:47DD	11:47DD	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
SSAnne3F_h	11:4926	11:4926	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
VictoryRoad3F_h	11:4974	11:4974	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
RocketHideoutB1F_h	11:4BBE	11:4BBE	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
RocketHideoutB2F_h	11:4E1B	11:4E1B	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
RocketHideoutB3F_h	11:5219	11:5219	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
RocketHideoutB4F_h	11:5451	11:5451	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
RocketHideoutElevator_h	11:5704	11:5704	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
SilphCoElevator_h	11:57B4	11:57B4	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
SafariZoneEast_h	11:585F	11:585F	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
SafariZoneNorth_h	11:599F	11:599F	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
SafariZoneCenter_h	11:5BA6	11:5BA6	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
SafariZoneCenterRestHouse_h	11:5CE1	11:5CE1	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
SafariZoneWestRestHouse_h	11:5D1E	11:5D1E	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
SafariZoneEastRestHouse_h	11:5D69	11:5D69	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
SafariZoneNorthRestHouse_h	11:5DB4	11:5DB4	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
CeruleanCave2F_h	11:5DFF	11:5DFF	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
CeruleanCaveB1F_h	11:5EE4	11:5EE4	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
RockTunnelB1F_h	11:5FDF	11:5FDF	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
SeafoamIslandsB1F_h	11:6309	11:6309	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
SeafoamIslandsB2F_h	11:6445	11:6445	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
SeafoamIslandsB3F_h	11:6581	11:6581	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
SeafoamIslandsB4F_h	11:678D	11:678D	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
Route7_h	12:4000	12:4000	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
RedsHouse1F_h	12:415C	12:415C	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
CeladonMart3F_h	12:4219	12:4219	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
