symbol	usa	ita_candidate	score	block_pointer	source
CeladonCity_h	06:4000	06:4000	5	40DF	MANIFEST+SEARCH
PalletTown_h	06:42A1	06:42A1	5	42FD	MANIFEST+SEARCH
PalletTown_h	06:42A1	07:4000	5	4069	SEARCH
PalletTown_h	06:42A1	11:4000	5	4085	SEARCH
PalletTown_h	06:42A1	12:4000	5	4051	SEARCH
PalletTown_h	06:42A1	1D:5B4D	2	0707	SEARCH
ViridianCity_h	06:4357	06:4357	5	43EC	MANIFEST+SEARCH
ViridianCity_h	06:4357	06:4554	5	45E6	SEARCH
ViridianCity_h	06:4357	06:474E	5	4830	SEARCH
ViridianCity_h	06:4357	06:4998	5	4A3F	SEARCH
ViridianCity_h	06:4357	06:4BA7	5	4C86	SEARCH
ViridianCity_h	06:4357	14:49A4	5	4A98	SEARCH
PewterCity_h	06:4554	06:4554	5	45E6	MANIFEST+SEARCH
PewterCity_h	06:4554	06:4357	5	43EC	SEARCH
PewterCity_h	06:4554	06:474E	5	4830	SEARCH
PewterCity_h	06:4554	06:4998	5	4A3F	SEARCH
PewterCity_h	06:4554	06:4BA7	5	4C86	SEARCH
PewterCity_h	06:4554	14:49A4	5	4A98	SEARCH
CeruleanCity_h	06:474E	06:474E	5	4830	MANIFEST+SEARCH
CeruleanCity_h	06:474E	06:4357	5	43EC	SEARCH
CeruleanCity_h	06:474E	06:4554	5	45E6	SEARCH
CeruleanCity_h	06:474E	06:4998	5	4A3F	SEARCH
CeruleanCity_h	06:474E	06:4BA7	5	4C86	SEARCH
CeruleanCity_h	06:474E	14:49A4	5	4A98	SEARCH
VermilionCity_h	06:4998	06:4998	5	4A3F	MANIFEST+SEARCH
VermilionCity_h	06:4998	06:4357	5	43EC	SEARCH
VermilionCity_h	06:4998	06:4554	5	45E6	SEARCH
VermilionCity_h	06:4998	06:474E	5	4830	SEARCH
VermilionCity_h	06:4998	06:4BA7	5	4C86	SEARCH
VermilionCity_h	06:4998	14:49A4	5	4A98	SEARCH
FuchsiaCity_h	06:4BA7	06:4BA7	5	4C86	MANIFEST+SEARCH
FuchsiaCity_h	06:4BA7	06:4357	5	43EC	SEARCH
FuchsiaCity_h	06:4BA7	06:4554	5	45E6	SEARCH
FuchsiaCity_h	06:4BA7	06:474E	5	4830	SEARCH
FuchsiaCity_h	06:4BA7	06:4998	5	4A3F	SEARCH
FuchsiaCity_h	06:4BA7	14:49A4	5	4A98	SEARCH
BluesHouse_h	06:5B2F	06:5B34	5	5BFB	SEARCH
BluesHouse_h	06:5B2F	06:5C0B	5	5C44	SEARCH
BluesHouse_h	06:5B2F	07:5540	5	41EE	SEARCH
BluesHouse_h	06:5B2F	07:557D	5	41DE	SEARCH
BluesHouse_h	06:5B2F	07:55E7	5	41DE	SEARCH
BluesHouse_h	06:5B2F	07:563C	5	41DE	SEARCH
BluesHouse_h	06:5B2F	07:5679	5	41FE	SEARCH
BluesHouse_h	06:5B2F	07:56EA	5	41DE	SEARCH
BluesHouse_h	06:5B2F	07:589D	5	41DE	SEARCH
BluesHouse_h	06:5B2F	07:59A3	5	41DE	SEARCH
BluesHouse_h	06:5B2F	07:5A07	5	41DE	SEARCH
BluesHouse_h	06:5B2F	07:5AF1	5	41DE	SEARCH
BluesHouse_h	06:5B2F	07:5D2F	5	41EE	SEARCH
BluesHouse_h	06:5B2F	07:5DD2	5	41DE	SEARCH
BluesHouse_h	06:5B2F	07:5E31	5	41DE	SEARCH
BluesHouse_h	06:5B2F	07:5EE2	5	41DE	SEARCH
BluesHouse_h	06:5B2F	07:65ED	5	41DE	SEARCH
BluesHouse_h	06:5B2F	15:6064	5	522F	SEARCH
BluesHouse_h	06:5B2F	15:6243	5	522F	SEARCH
