symbol	usa	ita_candidate	delta	tileset	height	width	score	candidate_count	confidence	status
CeladonCity_h	06:4000	06:4000	+0	00	12	19	5	1	HIGH	UNCHANGED
PalletTown_h	06:42A1	06:42A1	+0	00	09	0A	5	5	AMBIGUOUS	UNCHANGED
ViridianCity_h	06:4357	06:4357	+0	00	12	14	5	6	AMBIGUOUS	UNCHANGED
PewterCity_h	06:4554	06:4554	+0	00	12	14	5	6	AMBIGUOUS	UNCHANGED
CeruleanCity_h	06:474E	06:474E	+0	00	12	14	5	6	AMBIGUOUS	UNCHANGED
VermilionCity_h	06:4998	06:4998	+0	00	12	14	5	6	AMBIGUOUS	UNCHANGED
FuchsiaCity_h	06:4BA7	06:4BA7	+0	00	12	14	5	6	AMBIGUOUS	UNCHANGED
BluesHouse_h	06:5B2F	06:5B34	+5	08	04	04	5	21	AMBIGUOUS	CANDIDATE
VermilionTradeHouse_h	06:5C06	06:5B34	-210	08	04	04	5	21	AMBIGUOUS	CANDIDATE
IndigoPlateauLobby_h	06:5C4F	06:5C54	+5	02	06	08	5	3	MEDIUM	CANDIDATE
SilphCo4F_h	06:5CFF	06:5D04	+5	16	09	0F	5	6	AMBIGUOUS	CANDIDATE
SilphCo5F_h	06:5F2B	06:5D04	-551	16	09	0F	5	6	AMBIGUOUS	CANDIDATE
SilphCo6F_h	06:619D	06:61A2	+5	16	09	0D	5	4	AMBIGUOUS	CANDIDATE
CinnabarIsland_h	07:4000	07:4000	+0	00	09	0A	5	5	AMBIGUOUS	UNCHANGED
Route1_h	07:40C3	07:40C3	+0	00	12	0A	5	4	AMBIGUOUS	UNCHANGED
OaksLab_h	07:4B02	07:4B02	+0	05	06	05	5	22	AMBIGUOUS	UNCHANGED
ViridianMart_h	07:5462	07:5462	+0	02	04	04	5	16	AMBIGUOUS	UNCHANGED
ViridianSchoolHouse_h	07:5540	07:5540	+0	08	04	04	5	21	AMBIGUOUS	UNCHANGED
ViridianNicknameHouse_h	07:557D	07:557D	+0	08	04	04	5	21	AMBIGUOUS	UNCHANGED
PewterNidoranHouse_h	07:55E7	07:55E7	+0	08	04	04	5	21	AMBIGUOUS	UNCHANGED
PewterSpeechHouse_h	07:563C	07:563C	+0	08	04	04	5	21	AMBIGUOUS	UNCHANGED
CeruleanTrashedHouse_h	07:5679	07:5679	+0	08	04	04	5	21	AMBIGUOUS	UNCHANGED
CeruleanTradeHouse_h	07:56EA	07:56EA	+0	08	04	04	5	21	AMBIGUOUS	UNCHANGED
BikeShop_h	07:5730	07:5730	+0	15	04	04	5	1	HIGH	UNCHANGED
MrFujisHouse_h	07:589C	06:5B34	BANK_CHANGE	08	04	04	5	21	AMBIGUOUS	CANDIDATE
LavenderCuboneHouse_h	07:59A2	06:5B34	BANK_CHANGE	08	04	04	5	21	AMBIGUOUS	CANDIDATE
NameRatersHouse_h	07:5A06	06:5B34	BANK_CHANGE	08	04	04	5	21	AMBIGUOUS	CANDIDATE
VermilionPidgeyHouse_h	07:5AF0	06:5B34	BANK_CHANGE	08	04	04	5	21	AMBIGUOUS	CANDIDATE
VermilionDock_h	07:5B46	07:5B47	+1	0E	06	0E	5	4	AMBIGUOUS	CANDIDATE
CeladonMansionRoofHouse_h	07:5D2E	06:5B34	BANK_CHANGE	08	04	04	5	21	AMBIGUOUS	CANDIDATE
FuchsiaMart_h	07:5D7C	07:5462	-2330	02	04	04	5	16	AMBIGUOUS	CANDIDATE
SaffronPidgeyHouse_h	07:5DD1	06:5B34	BANK_CHANGE	08	04	04	5	21	AMBIGUOUS	CANDIDATE
MrPsychicsHouse_h	07:5E30	06:5B34	BANK_CHANGE	08	04	04	5	21	AMBIGUOUS	CANDIDATE
DiglettsCaveRoute2_h	07:5EA4	07:5EA5	+1	11	04	04	5	9	AMBIGUOUS	CANDIDATE
Route2TradeHouse_h	07:5EE1	06:5B34	BANK_CHANGE	08	04	04	5	21	AMBIGUOUS	CANDIDATE
Route5Gate_h	07:5F27	07:5F28	+1	0C	03	04	5	4	AMBIGUOUS	CANDIDATE
Route6Gate_h	07:6031	07:5F28	-265	0C	03	04	5	4	AMBIGUOUS	CANDIDATE
Route7Gate_h	07:60F4	07:60F5	+1	0C	04	03	5	3	MEDIUM	CANDIDATE
Route8Gate_h	07:61BB	07:60F5	-198	0C	04	03	5	3	MEDIUM	CANDIDATE
UndergroundPathRoute8_h	07:627D	07:627E	+1	0C	04	04	5	15	AMBIGUOUS	CANDIDATE
PowerPlant_h	07:62BA	07:62BB	+1	16	12	14	5	1	HIGH	CANDIDATE
DiglettsCaveRoute11_h	07:65AE	07:5EA5	-1801	11	04	04	5	9	AMBIGUOUS	CANDIDATE
Route16FlyHouse_h	07:65EC	06:5B34	BANK_CHANGE	08	04	04	5	21	AMBIGUOUS	CANDIDATE
Route22Gate_h	07:6677	07:6678	+1	0C	04	05	5	3	MEDIUM	CANDIDATE
BillsHouse_h	07:675E	07:675F	+1	10	04	04	5	3	MEDIUM	CANDIDATE
LavenderTown_h	11:4000	11:4000	+0	00	09	0A	5	5	AMBIGUOUS	UNCHANGED
ViridianPokecenter_h	11:4251	11:4251	+0	06	04	07	5	12	AMBIGUOUS	UNCHANGED
PokemonMansion1F_h	11:42A3	11:42A3	+0	16	0E	0F	5	6	AMBIGUOUS	UNCHANGED
RockTunnel1F_h	11:44D0	11:44D0	+0	11	12	14	5	5	AMBIGUOUS	UNCHANGED
SeafoamIslands1F_h	11:47DD	11:47DD	+0	11	09	0F	5	10	AMBIGUOUS	UNCHANGED
SSAnne3F_h	11:4926	11:4926	+0	0D	03	0A	5	1	HIGH	UNCHANGED
VictoryRoad3F_h	11:4974	11:4974	+0	11	09	0F	5	10	AMBIGUOUS	UNCHANGED
RocketHideoutB1F_h	11:4BBE	11:4BBE	+0	16	0E	0F	5	6	AMBIGUOUS	UNCHANGED
RocketHideoutB2F_h	11:4E1B	11:4E1B	+0	16	0E	0F	5	6	AMBIGUOUS	UNCHANGED
RocketHideoutB3F_h	11:5219	11:5219	+0	16	0E	0F	5	6	AMBIGUOUS	UNCHANGED
RocketHideoutB4F_h	11:5451	11:5451	+0	16	0C	0F	5	1	HIGH	UNCHANGED
RocketHideoutElevator_h	11:5704	11:5704	+0	12	04	03	5	1	HIGH	UNCHANGED
SilphCoElevator_h	11:57B4	11:57B4	+0	12	02	02	5	2	MEDIUM	UNCHANGED
SafariZoneEast_h	11:585F	11:585F	+0	03	0D	0F	5	4	AMBIGUOUS	UNCHANGED
SafariZoneNorth_h	11:599F	11:599F	+0	03	12	14	5	1	HIGH	UNCHANGED
SafariZoneCenter_h	11:5BA6	11:5BA6	+0	03	0D	0F	5	4	AMBIGUOUS	UNCHANGED
SafariZoneCenterRestHouse_h	11:5CE1	11:5CE1	+0	0C	04	04	5	15	AMBIGUOUS	UNCHANGED
SafariZoneWestRestHouse_h	11:5D1E	11:5D1E	+0	0C	04	04	5	15	AMBIGUOUS	UNCHANGED
SafariZoneEastRestHouse_h	11:5D69	11:5D69	+0	0C	04	04	5	15	AMBIGUOUS	UNCHANGED
SafariZoneNorthRestHouse_h	11:5DB4	11:5DB4	+0	0C	04	04	5	15	AMBIGUOUS	UNCHANGED
CeruleanCave2F_h	11:5DFF	11:5DFF	+0	11	09	0F	5	10	AMBIGUOUS	UNCHANGED
CeruleanCaveB1F_h	11:5EE4	11:5EE4	+0	11	09	0F	5	10	AMBIGUOUS	UNCHANGED
RockTunnelB1F_h	11:5FDF	11:5FDF	+0	11	12	14	5	5	AMBIGUOUS	UNCHANGED
SeafoamIslandsB1F_h	11:6309	11:6309	+0	11	09	0F	5	10	AMBIGUOUS	UNCHANGED
SeafoamIslandsB2F_h	11:6445	11:6445	+0	11	09	0F	5	10	AMBIGUOUS	UNCHANGED
SeafoamIslandsB3F_h	11:6581	11:6581	+0	11	09	0F	5	10	AMBIGUOUS	UNCHANGED
SeafoamIslandsB4F_h	11:678D	11:678D	+0	11	09	0F	5	10	AMBIGUOUS	UNCHANGED
Route7_h	12:4000	12:4000	+0	00	09	0A	5	5	AMBIGUOUS	UNCHANGED
RedsHouse1F_h	12:415C	12:415C	+0	01	04	04	5	8	AMBIGUOUS	UNCHANGED
CeladonMart3F_h	12:4219	12:4219	+0	12	04	0A	5	6	AMBIGUOUS	UNCHANGED
CeladonMart4F_h	12:434A	12:434A	+0	12	04	0A	5	6	AMBIGUOUS	UNCHANGED
CeladonMartRoof_h	12:43C9	12:43C9	+0	12	04	0A	5	6	AMBIGUOUS	UNCHANGED
CeladonMartElevator_h	12:45F4	12:45F4	+0	12	02	02	5	2	MEDIUM	UNCHANGED
CeladonMansion1F_h	12:4688	12:4688	+0	13	06	04	5	5	AMBIGUOUS	UNCHANGED
CeladonMansion2F_h	12:472E	12:472E	+0	13	06	04	5	5	AMBIGUOUS	UNCHANGED
CeladonMansion3F_h	12:4784	12:4784	+0	13	06	04	5	5	AMBIGUOUS	UNCHANGED
CeladonMansionRoof_h	12:485F	12:485F	+0	13	06	04	5	5	AMBIGUOUS	UNCHANGED
CeladonPokecenter_h	12:48AC	12:48AC	+0	06	04	07	5	12	AMBIGUOUS	UNCHANGED
CeladonGym_h	12:48FE	12:48FE	+0	07	09	05	5	4	AMBIGUOUS	UNCHANGED
