symbol	candidate	score	classification	pointer_rom_bank	pointer_rom_offset	pointer_rom_location	location_class	pointer_context
_ExclamationText	20:40A4	260	HIGH_CONFIDENCE	5	1BCF	05:1BCF	OTHER_BANK	1F 3F 3F 7F 7F 7F 74 7F 60 FF A8 DF A4 80 80 E0 E0 F0 F0 F8 F8 F8 B8 F8 18 FC
_ExclamationText	20:40A4	260	HIGH_CONFIDENCE	9	35EA	09:35EA	OTHER_BANK	B4 30 5B 5F FA 73 3F 4D 1A 52 D7 9F A4 80 44 BB 13 A9 55 4E 35 6A E7 4E 5A 95
_ExclamationText	20:4364	140	REJECTED	9	12FF	09:12FF	OTHER_BANK	D0 4A 69 22 9B 6C 37 A7 33 4A 0C 4C 64 83 45 B1 71 48 A9 29 0C 6E F5 12 8D 18
_MtMoon1FCooltrainerF1EndBattleText	20:4835	240	HIGH_CONFIDENCE	9	3B76	09:3B76	OTHER_BANK	64 E0 FA 51 6A A9 08 69 E4 84 25 25 35 88 9A AF C8 54 62 22 54 63 2A 62 62 17
_MtMoon1FCooltrainerF1EndBattleText	20:4835	240	HIGH_CONFIDENCE	10	03E2	0A:03E2	OTHER_BANK	5E 53 4A 14 AC B7 85 29 94 B6 F8 63 35 88 D3 28 84 58 87 04 87 C1 E9 4C EF 49
_MtMoon1FCooltrainerF1EndBattleText	20:4835	240	HIGH_CONFIDENCE	10	05E3	0A:05E3	OTHER_BANK	D4 C7 AB E4 68 97 D3 46 64 D5 30 56 35 88 8D 6B 26 94 E2 89 48 8A 99 A8 E4 81
_MtMoon1FCooltrainerF1EndBattleText	20:4835	240	HIGH_CONFIDENCE	11	2F8C	0B:2F8C	OTHER_BANK	AA 89 A3 15 2F 04 68 51 7F E0 55 A3 35 88 45 50 43 A2 2A AA CD 76 15 F9 EA 39
_MtMoon1FCooltrainerF1EndBattleText	20:5E05	140	REJECTED	8	02A0	08:02A0	OTHER_BANK	05 5E 48 44 75 48 05 80 48 44 87 48 05 9E 48 84 B5 48 05 C4 48 07 D3 48 44 E0
_MtMoon1FCooltrainerF1EndBattleText	20:5E05	140	REJECTED	13	09F0	0D:09F0	OTHER_BANK	4E 1E 38 67 14 4C 61 03 91 D5 4D 21 05 9E 0A 82 16 31 8D 1E 2C 0A 7A 9C 84 7A
_SSAnneBowSailor3EndBattleText	20:51DC	240	HIGH_CONFIDENCE	2	2E33	02:2E33	OTHER_BANK	91 E4 11 42 DC 81 40 DC C1 21 61 92 DC 91 90 DC C1 E5 91 E4 11 43 20 10 00 E5
_SSAnneBowSailor3EndBattleText	20:51DC	240	HIGH_CONFIDENCE	2	2E4C	02:2E4C	OTHER_BANK	E5 B0 B2 DC A1 80 DC C1 91 E4 11 42 DC 91 40 DC C1 21 61 92 DC 81 90 DC C1 81
_SSAnneBowSailor3EndBattleText	20:51DC	240	HIGH_CONFIDENCE	2	3BA3	02:3BA3	OTHER_BANK	CF CF CF FE 00 6B 7B EA 00 34 EC 03 DC 91 E3 03 73 B3 63 FE 00 A5 7B EA 04 11
_SSAnneBowSailor3EndBattleText	20:51DC	240	HIGH_CONFIDENCE	19	2707	13:2707	OTHER_BANK	F3 EF BD 8F D2 E7 CA 24 29 34 5C 09 DC 91 14 A4 D1 8C 08 27 43 EA A8 D1 CD 27
_SSAnneCaptainsRoomCaptainHM01NoRoomText	20:5606	240	HIGH_CONFIDENCE	3	17B2	03:17B2	OTHER_BANK	06 FF FE 04 28 0C 06 C8 FE 03 28 06 06 96 FE 02 28 00 78 E0 99 06 04 CD D1 38
_SSAnneCaptainsRoomCaptainHM01NoRoomText	20:5606	240	HIGH_CONFIDENCE	16	0E00	10:0E00	OTHER_BANK	50 8F 84 92 82 84 91 8E 92 92 8E 50 06 96 00 17 AA 6D 2B 50 8F 84 92 82 84 91
_SSAnneB1FRoomsSailor4EndBattleText	20:5E05	240	HIGH_CONFIDENCE	8	02A0	08:02A0	OTHER_BANK	05 5E 48 44 75 48 05 80 48 44 87 48 05 9E 48 84 B5 48 05 C4 48 07 D3 48 44 E0
_SSAnneB1FRoomsSailor4EndBattleText	20:5E05	240	HIGH_CONFIDENCE	13	09F0	0D:09F0	OTHER_BANK	4E 1E 38 67 14 4C 61 03 91 D5 4D 21 05 9E 0A 82 16 31 8D 1E 2C 0A 7A 9C 84 7A
_SSAnneB1FRoomsSailor4EndBattleText	20:4835	140	REJECTED	9	3B76	09:3B76	OTHER_BANK	64 E0 FA 51 6A A9 08 69 E4 84 25 25 35 88 9A AF C8 54 62 22 54 63 2A 62 62 17
_SSAnneB1FRoomsSailor4EndBattleText	20:4835	140	REJECTED	10	03E2	0A:03E2	OTHER_BANK	5E 53 4A 14 AC B7 85 29 94 B6 F8 63 35 88 D3 28 84 58 87 04 87 C1 E9 4C EF 49
_SSAnneB1FRoomsSailor4EndBattleText	20:4835	140	REJECTED	10	05E3	0A:05E3	OTHER_BANK	D4 C7 AB E4 68 97 D3 46 64 D5 30 56 35 88 8D 6B 26 94 E2 89 48 8A 99 A8 E4 81
_SSAnneB1FRoomsSailor4EndBattleText	20:4835	140	REJECTED	11	2F8C	0B:2F8C	OTHER_BANK	AA 89 A3 15 2F 04 68 51 7F E0 55 A3 35 88 45 50 43 A2 2A AA CD 76 15 F9 EA 39
_SilphCo3FRocketEndBattleText	20:6A4B	240	HIGH_CONFIDENCE	3	0A1C	03:0A1C	OTHER_BANK	4A E7 4A 92 4B 95 4B 98 4B A1 4B A4 4B AA 4B B6 4B E7 4A E7 4A E7 4A E7 4A E7
_SilphCo3FRocketEndBattleText	20:6A4B	240	HIGH_CONFIDENCE	9	2D41	09:2D41	OTHER_BANK	A3 AB 7A 88 4A 60 AA 9C E8 42 AA 34 4B AA 9C 0C 4F 11 5A 2C C2 CA CA 62 E4 E5
_SilphCo3FRocketEndBattleText	20:6A4B	240	HIGH_CONFIDENCE	10	170E	0A:170E	OTHER_BANK	E1 82 82 14 19 86 04 94 13 1A 29 22 4B AA 58 64 16 A3 34 22 15 A0 4E 5A 2A 7A
_SilphCo3FRocketEndBattleText	20:6A4B	240	HIGH_CONFIDENCE	10	1A23	0A:1A23	OTHER_BANK	4D AA 1A 29 25 22 21 6A 32 41 38 95 4B AA 27 68 D5 81 14 C1 89 78 8A 4C 9A 36
_SilphCo3FRocketEndBattleText	20:6A4B	240	HIGH_CONFIDENCE	10	3564	0A:3564	OTHER_BANK	54 10 72 64 A6 25 F5 35 B4 24 CE 67 4B AA 8A 88 99 35 B4 24 C1 78 88 E0 92 94
_SilphCo3FRocketEndBattleText	20:6A4B	240	HIGH_CONFIDENCE	11	00FD	0B:00FD	OTHER_BANK	94 BB 54 84 8D 33 45 04 C2 89 42 25 4B AA 2B 0B D5 56 D8 50 82 46 89 53 0B 78
_SilphCo3FRocketEndBattleText	20:6A4B	240	HIGH_CONFIDENCE	11	0DE2	0B:0DE2	OTHER_BANK	29 8C EA BD 15 61 6E 96 15 88 74 96 4B AA A1 63 57 82 81 88 92 D6 82 35 78 9B
_SilphCo3FRocketEndBattleText	20:6A4B	240	HIGH_CONFIDENCE	11	1984	0B:1984	OTHER_BANK	F8 58 B4 C1 56 B6 8A AA A8 87 81 79 4B AA A9 5A 8E 4B FA 26 AA AA AA 3D E9 F6
_SilphCo3FScientistEndBattleText	20:6AD4	240	HIGH_CONFIDENCE	9	2ADF	09:2ADF	OTHER_BANK	D3 07 8C 54 B6 AD 09 68 87 D8 37 FA D4 AA 05 F8 85 F0 55 0B 04 A8 97 0F A9 5E
_SilphCo3FScientistEndBattleText	20:6AD4	240	HIGH_CONFIDENCE	10	0AE8	0A:0AE8	OTHER_BANK	55 E9 78 C6 89 96 38 5F A8 94 D9 CC D4 AA A0 55 6E B2 14 C3 B0 52 D8 75 52 E9
_SilphCo3FScientistEndBattleText	20:6AD4	240	HIGH_CONFIDENCE	10	24E2	0A:24E2	OTHER_BANK	70 42 91 16 91 04 76 B0 44 24 51 49 D4 AA 55 04 78 71 29 33 47 87 2A B9 CA 44
_SilphCo3FScientistEndBattleText	20:6AD4	240	HIGH_CONFIDENCE	12	1A9A	0C:1A9A	OTHER_BANK	ED AD E5 FD 8A AB 68 14 2A 97 0B 70 D4 AA 52 9A 25 58 25 4C 62 E5 30 7F D3 A5
_SilphCo3FScientistEndBattleText	20:6AD4	240	HIGH_CONFIDENCE	13	0B20	0D:0B20	OTHER_BANK	C5 54 E2 BD 31 52 B4 86 B3 75 7F D7 D4 AA E2 1B 7C A8 C5 FA 89 A7 33 92 27 88
_SilphCo3FScientistEndBattleText	20:6AD4	240	HIGH_CONFIDENCE	13	2490	0D:2490	OTHER_BANK	0E CE 61 29 C3 54 74 4C 67 26 C9 E5 D4 AA AB 47 80 44 B9 95 FF 32 74 C9 FA A5
_SilphCo3FScientistEndBattleText	20:6AD4	240	HIGH_CONFIDENCE	19	1BE1	13:1BE1	OTHER_BANK	EC 64 A6 AB E3 29 E5 4E 96 8C 10 BF D4 AA 1A 9F E5 39 9B FD 0A 7B EE 9B 4C A9
