
Generated symbols: 548

00:1F19 FlowerTile1
00:1F29 FlowerTile2
00:1F39 FlowerTile3
04:5380 PokemonLogoGraphics
04:5A80 FontGraphics
04:5EA0 HpBarAndStatusGraphics
04:6080 BattleHudTiles1
04:6098 BattleHudTiles2
04:60B0 BattleHudTiles3
04:60C8 NintendoCopyrightLogoGraphics
04:61F8 GameFreakLogoGraphics
04:6298 TextBoxGraphics
04:6498 PokedexTileGraphics
04:65B8 WorldMapTileGraphics
04:66B8 PlayerCharacterTitleGraphics
04:6F00 RedPicFront
04:700A ShrinkPic1
04:7064 ShrinkPic2
05:4000 RedBikeSprite
05:7B27 SpriteSheetPointerTable
05:7CBD ShockEmote
05:7CFD QuestionEmote
05:7D3D HappyEmote
06:4000 CeladonCity_h
06:42A1 PalletTown_h
06:4357 ViridianCity_h
06:4554 PewterCity_h
06:474E CeruleanCity_h
06:4998 VermilionCity_h
06:4BA7 FuchsiaCity_h
06:5B34 BluesHouse_h
06:5C0B VermilionTradeHouse_h
06:5C54 IndigoPlateauLobby_h
06:5D04 SilphCo4F_h
06:5F30 SilphCo5F_h
06:61A2 SilphCo6F_h
06:6631 DoorTileIDPointers
06:670D LedgeHoppingShadow
07:4000 CinnabarIsland_h
07:40C3 Route1_h
07:421E MonsterNames
07:4B02 OaksLab_h
07:5462 ViridianMart_h
07:5540 ViridianSchoolHouse_h
07:557D ViridianNicknameHouse_h
07:55E7 PewterNidoranHouse_h
07:563C PewterSpeechHouse_h
07:5679 CeruleanTrashedHouse_h
07:56EA CeruleanTradeHouse_h
07:5730 BikeShop_h
